23
591.296,83.3333,456,0,180,-17.4344
494.146,7.22164,456,0,180,44.199
410.51,63.0903,456,0,180,-18.9647
562.41,-19.0387,456,0,180,-33.9663
493.407,-39.4385,456,0,180,41.7203
418.238,-26.6589,456,0,180,-50.6648
605.646,-30.1867,456,0,180,-26.7034
655.537,32.4924,456,0,180,50.4284
489.789,-83.4238,456,0,180,41.4819
657.907,-56.8526,456,0,180,115.299
553.737,-118.162,456,0,180,-50.1751
486.398,-128.656,456,0,180,38.56
602.333,-118.784,456,0,180,-37.2343
415.755,-125.098,456,0,180,-43.3127
485.517,-182.646,456,0,180,39.3342
645.216,-147.515,456,0,180,-21.8103
549.394,-205.448,456,0,180,124.572
490.065,-227.929,456,0,180,40.0881
409.364,-222.9,456,0,180,102.771
604.313,-223.629,456,0,180,100.334
671.746,-215.767,456,0,180,-35.597
491.358,-276.718,456,0,180,33.3249
569.671,-302.052,456,0,180,23.4818
